feature,Class,Category,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,Mass,Sum.Formula,Total.FA,Total.C,Total.DB,Total.OH,FA,FA.C,FA.DB,FA.OH,LCB,LCB2,LCB.C,LCB.DB,LCB.OH,LCB.Bond.Type,FA1,FA1.C,FA1.DB,FA1.OH,FA1.Bond.Type,FA2,FA2.C,FA2.DB,FA2.OH,FA2.Bond.Type,FA3,FA3.C,FA3.DB,FA3.OH,FA3.Bond.Type,FA4,FA4.C,FA4.DB,FA4.OH,FA4.Bond.Type,Lipid.Maps.Category,Lipid.Maps.Class,Lipid.Maps.Subclass,Cellular.Component,Function,Bond.type,Headgroup.Charge,Lateral.Diffusion,Bilayer.Thickness,Intrinsic.Curvature,Transition.Temperature,FA.Unsaturation.Category1,FA.Unsaturation.Category2,FA.Chain.Length.Category1,FA.Chain.Length.Category2,FA.Chain.Length.Category3,LION.abbr,GATOM.abbr,LIPIDMAPS.reaction.abbr
PE O-32:1,PE O-,GP,PE O-32:1,,,SPECIES,675.52029,C37H74NO7P,32:1,32,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-32:1),PE(O-32:1),PE-O
PE O-32:2,PE O-,GP,PE O-32:2,,,SPECIES,673.50464,C37H72NO7P,32:2,32,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-32:2),PE(O-32:2),PE-O
PE O-34:0,PE O-,GP,PE O-34:0,,,SPECIES,705.56724,C39H80NO7P,34:0,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-34:0),PE(O-34:0),PE-O
PE O-34:1,PE O-,GP,PE O-34:1,,,SPECIES,703.55159,C39H78NO7P,34:1,34,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-34:1),PE(O-34:1),PE-O
PE O-34:2,PE O-,GP,PE O-34:2,,,SPECIES,701.53594,C39H76NO7P,34:2,34,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-34:2),PE(O-34:2),PE-O
PE O-34:3,PE O-,GP,PE O-34:3,,,SPECIES,699.52029,C39H74NO7P,34:3,34,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-34:3),PE(O-34:3),PE-O
PE O-34:4,PE O-,GP,PE O-34:4,,,SPECIES,697.50464,C39H72NO7P,34:4,34,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-34:4),PE(O-34:4),PE-O
PE O-36:0,PE O-,GP,PE O-36:0,,,SPECIES,733.59854,C41H84NO7P,36:0,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-36:0),PE(O-36:0),PE-O
PE O-36:1,PE O-,GP,PE O-36:1,,,SPECIES,731.58289,C41H82NO7P,36:1,36,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-36:1),PE(O-36:1),PE-O
PE O-36:2,PE O-,GP,PE O-36:2,,,SPECIES,729.56724,C41H80NO7P,36:2,36,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-36:2),PE(O-36:2),PE-O
